,
2012,2749
2011,3006
2010,2495
2009,1505
2008,1113
2007,677
2006,525
2005,374
2004,2004
2003,113
2002,2002
2001,98
2000,82
1999,49
1998,24
1997,26
1996,8
1995,3
1994,3
1993,1
1992,1
1983,1
